title_id	title_type	primary_title	original_title	is_adult	start_year	end_year	runtime_minutes
tt0004287	short	The Maid from Sweden	The Maid from Sweden	0	1914	\N	10
tt0004307	movie	Martin Eden	Martin Eden	0	1914	\N	50
tt0005005	movie	The Broken Coin	The Broken Coin	0	1915	\N	440
tt0006548	short	The Count	The Count	0	1916	\N	21
tt0007858	movie	Diamonds and Pearls	Diamonds and Pearls	0	1917	\N	50
tt0010108	movie	The Fall of Babylon	The Fall of Babylon	0	1919	\N	82
tt0010306	short	Itasca Makes Her Bow	Itasca Makes Her Bow	0	1919	\N	\N
tt0010946	movie	Aan boord van de 'Sabina'	Aan boord van de 'Sabina'	0	1920	\N	\N
tt0011231	movie	The Girl in the Web	The Girl in the Web	0	1920	\N	60
tt0012432	movie	The Magnificent Brute	The Magnificent Brute	0	1921	\N	50
tt0012466	movie	The Mistress of Shenstone	The Mistress of Shenstone	0	1921	\N	60
tt0012468	movie	Molly O'	Molly O'	0	1921	\N	80
tt0012734	movie	Sure Fire	Sure Fire	0	1921	\N	50
tt0016615	movie	Atta Boy	Atta Boy	0	1926	\N	63
tt0017242	movie	Padlocked	Padlocked	0	1926	\N	70
tt0018520	movie	La tía Ramona	La tía Ramona	0	1928	\N	\N
tt0018811	short	The Dancing Town	The Dancing Town	0	1928	\N	20
tt0018994	movie	Strauss, the Waltz King	Heut' spielt der Strauss	0	1928	\N	\N
tt0019773	movie	Clear the Decks	Clear the Decks	0	1929	\N	70
tt0020768	movie	City Girl	City Girl	0	1930	\N	77
tt0021137	movie	Men Are Like That	Men Are Like That	0	1930	\N	61
tt0021778	movie	Dance, Fools, Dance	Dance, Fools, Dance	0	1931	\N	80
tt0022353	movie	Seas Beneath	Seas Beneath	0	1931	\N	90
tt0022816	movie	Devil's Lottery	Devil's Lottery	0	1932	\N	78
tt0023071	movie	Ivan	Ivan	0	1932	\N	102
tt0023209	movie	Men of Chance	Men of Chance	0	1931	\N	67
tt0023685	movie	The Wet Parade	The Wet Parade	0	1932	\N	118
tt0024061	movie	The Peak Scaler	Gipfelstürmer	0	1933	\N	83
tt0024099	movie	O' Schwarzwald, O' Heimat	Heimkehr ins Glück	0	1933	\N	86
tt0024613	short	The Steeple Chase	The Steeple Chase	0	1933	\N	7
tt0024674	movie	To the Last Man	To the Last Man	0	1933	\N	74
tt0024744	short	Wake Up the Gypsy in Me	Wake Up the Gypsy in Me	0	1933	\N	7
tt0025007	short	The Cracked Ice Man	The Cracked Ice Man	0	1934	\N	19
tt0025336	movie	Der junge Baron Neuhaus	Der junge Baron Neuhaus	0	1934	\N	95
tt0025591	short	Oliver the Eighth	Oliver the Eighth	0	1934	\N	27
tt0026005	movie	A Woman's Man	A Woman's Man	0	1934	\N	70
tt0027155	movie	Under falsk flagg	Under falsk flagg	0	1935	\N	89
tt0027171	movie	Viktoria	Viktoria	0	1935	\N	91
tt0028071	movie	River of Unrest	Ourselves Alone	0	1936	\N	70
tt0028352	movie	The Texas Rangers	The Texas Rangers	0	1936	\N	98
tt0028359	movie	13 Hours by Air	Thirteen Hours by Air	0	1936	\N	80
tt0029036	movie	I Met Him in Paris	I Met Him in Paris	0	1937	\N	86
tt0029039	movie	I Promise to Pay	I Promise to Pay	0	1937	\N	68
tt0029870	movie	Angels with Dirty Faces	Angels with Dirty Faces	0	1938	\N	97
tt0030051	movie	Desert Patrol	Desert Patrol	0	1938	\N	56
tt0030484	movie	The Mysterious Rider	The Mysterious Rider	0	1938	\N	74
tt0030727	movie	Secrets of an Actress	Secrets of an Actress	0	1938	\N	70
tt0030884	movie	Torchy Gets Her Man	Torchy Gets Her Man	0	1938	\N	63
tt0031973	movie	Stanley and Livingstone	Stanley and Livingstone	0	1939	\N	101
tt0032187	movie	Alarm	Alarm	0	1941	\N	90
tt0032256	movie	Bitter Sweet	Bitter Sweet	0	1940	\N	94
tt0033231	movie	Västkustens hjältar	Västkustens hjältar	0	1940	\N	79
tt0033238	movie	Waterloo Bridge	Waterloo Bridge	0	1940	\N	108
tt0033435	movie	Broadway Limited	Broadway Limited	0	1941	\N	75
tt0033835	short	Little Cesario	Little Cesario	0	1941	\N	8
tt0033987	movie	Out of the Fog	Out of the Fog	0	1941	\N	85
tt0034076	movie	Quax, der Bruchpilot	Quax, der Bruchpilot	0	1941	\N	92
tt0034093	movie	Remorques	Remorques	0	1941	\N	91
tt0034753	short	Fraidy Cat	Fraidy Cat	0	1942	\N	8
tt0034883	movie	I Was Framed	I Was Framed	0	1942	\N	61
tt0036108	movie	Lettere al sottotenente	Lettere al sottotenente	0	1945	\N	91
tt0036625	movie	Barbary Coast Gent	Barbary Coast Gent	0	1944	\N	87
tt0036952	movie	In Our Time	In Our Time	0	1944	\N	110
tt0037232	movie	Romeo y Julieta	Romeo y Julieta	0	1943	\N	100
tt0037690	movie	The Falcon in San Francisco	The Falcon in San Francisco	0	1945	\N	66
tt0037701	movie	First Yank Into Tokyo	First Yank Into Tokyo	0	1945	\N	82
tt0037771	movie	Here Come the Co-eds	Here Come the Co-eds	0	1945	\N	90
tt0038127	movie	Strange Voyage	Strange Voyage	0	1946	\N	80
tt0039472	movie	Honeymoon	Honeymoon	0	1947	\N	74
tt0040731	movie	The Return of Wildfire	The Return of Wildfire	0	1948	\N	83
tt0040876	movie	The Three Musketeers	The Three Musketeers	0	1948	\N	125
tt0040920	movie	Unknown Island	Unknown Island	0	1948	\N	75
tt0041200	movie	I'm in the Revue	Botta e risposta	0	1950	\N	80
tt0041270	movie	Four Against the World	Cuatro contra el mundo	0	1950	\N	100
tt0041448	movie	Haunted Trails	Haunted Trails	0	1949	\N	58
tt0041474	short	Holiday for Drumsticks	Holiday for Drumsticks	0	1949	\N	7
tt0041716	movie	On the Town	On the Town	0	1949	\N	98
tt0041847	movie	Scene of the Crime	Scene of the Crime	0	1949	\N	94
tt0041967	movie	Tokyo Joe	Tokyo Joe	0	1949	\N	88
tt0042200	movie	Annie Get Your Gun	Annie Get Your Gun	0	1950	\N	107
tt0042897	movie	Rocketship X-M	Rocketship X-M	0	1950	\N	77
tt0043311	movie	Bakonja fra Brne	Bakonja fra Brne	0	1951	\N	104
tt0043505	movie	The Young Caruso	Enrico Caruso - Leggenda di una voce	0	1951	\N	91
tt0044630	movie	Fort Osage	Fort Osage	0	1952	\N	72
tt0044812	movie	Captain Bay-Bay	Käpt'n Bay-Bay	0	1953	\N	101
tt0044818	movie	Lady in the Iron Mask	Lady in the Iron Mask	0	1952	\N	78
tt0044859	movie	Lure of the Wilderness	Lure of the Wilderness	0	1952	\N	93
tt0045040	movie	A Treasure on Bird Island	Poklad Ptacího ostrova	0	1952	\N	75
tt0045094	movie	Road to Bali	Road to Bali	0	1952	\N	91
tt0045806	movie	Geheimakten Solvay	Geheimakten Solvay	0	1953	\N	105
tt0046399	movie	The Tall Texan	The Tall Texan	0	1953	\N	84
tt0046681	movie	Addio, figlio mio!	Addio, figlio mio!	0	1953	\N	92
tt0046899	movie	Demetrius and the Gladiators	Demetrius and the Gladiators	0	1954	\N	101
tt0047091	movie	Hintónjáró szerelem	Hintónjáró szerelem	0	1955	\N	92
tt0047162	movie	The Last Time I Saw Paris	The Last Time I Saw Paris	0	1954	\N	116
tt0047261	movie	Die Mücke	Die Mücke	0	1954	\N	110
tt0047424	movie	Rogue Cop	Rogue Cop	0	1954	\N	92
tt0047507	movie	The Snow Creature	The Snow Creature	0	1954	\N	69
tt0047898	movie	Bride of the Monster	Bride of the Monster	0	1955	\N	69
tt0048078	movie	Five Guns West	Five Guns West	0	1955	\N	78
tt0049372	movie	It's Great to Be Young!	It's Great to Be Young!	0	1956	\N	94
tt0049696	movie	Run for the Sun	Run for the Sun	0	1956	\N	99
tt0049949	movie	While the City Sleeps	While the City Sleeps	0	1956	\N	100
tt0049972	movie	Shin, Heike monogatari: Yoshinaka o meguru sannin no onna	Shin, Heike monogatari: Yoshinaka o meguru sannin no onna	0	1956	\N	121
tt0050762	movie	Nine Lives	Ni liv	0	1957	\N	96
tt0051405	movie	Behind the Mask	Behind the Mask	0	1958	\N	99
tt0051439	movie	Madame White Snake	Byaku fujin no yoren	0	1956	\N	103
tt0052296	movie	A Time to Love and a Time to Die	A Time to Love and a Time to Die	0	1958	\N	132
tt0052327	movie	The Two-Headed Spy	The Two-Headed Spy	0	1958	\N	93
tt0052507	tvSeries	The Bullwinkle Show	Rocky and His Friends	0	1959	1963	30
tt0052958	movie	When the Woman Butts In	Kam cert nemuze	0	1960	\N	80
tt0053714	movie	The Sky Above, the Mud Below	Le ciel et la boue	0	1961	\N	92
tt0053936	movie	Ice Palace	Ice Palace	0	1960	\N	143
tt0054197	movie	Portrait in Black	Portrait in Black	0	1960	\N	112
tt0054693	movie	Blueprint for Robbery	Blueprint for Robbery	0	1961	\N	87
tt0055408	movie	Santo vs. the Vampire Women	Santo vs. las mujeres vampiro	0	1962	\N	89
tt0055934	movie	Chicken Feed for Little Birds	Du mouron pour les petits oiseaux	0	1963	\N	109
tt0056193	movie	Lolita	Lolita	0	1962	\N	153
tt0056732	movie	The Exterminating Angel	El ángel exterminador	0	1962	\N	95
tt0057123	movie	The Cellar	Ha-Martef	0	1963	\N	76
tt0057128	movie	The Haunted Palace	The Haunted Palace	0	1963	\N	87
tt0057543	movie	Sunday in New York	Sunday in New York	0	1963	\N	105
tt0057682	movie	Who's Been Sleeping in My Bed?	Who's Been Sleeping in My Bed?	0	1963	\N	103
tt0058099	movie	The Finest Hours	The Finest Hours	0	1964	\N	116
tt0058144	movie	The Glass Cage	The Glass Cage	0	1964	\N	84
tt0058150	movie	Goldfinger	Goldfinger	0	1964	\N	110
tt0058154	movie	Goodbye Charlie	Goodbye Charlie	0	1964	\N	116
tt0058167	movie	Guns of Diablo	Guns of Diablo	0	1964	\N	91
tt0059652	short	Rheinstrom	Rheinstrom	0	1966	\N	13
tt0059971	tvSeries	Blue Light	Blue Light	0	1966	1966	30
tt0060302	movie	Destination Inner Space	Destination Inner Space	0	1966	\N	83
tt0060710	movie	Moishe Air-Condition	Moishe Ventilator	0	1966	\N	90
tt0061156	movie	Wo ai zi luo lan	Wo ai zi luo lan	0	1966	\N	104
tt0061320	movie	We Still Kill the Old Way	A ciascuno il suo	0	1967	\N	99
tt0061913	movie	Far from Vietnam	Loin du Vietnam	0	1967	\N	115
tt0061960	movie	A Matter of Innocence	Pretty Polly	0	1967	\N	102
tt0061985	movie	Mocne uderzenie	Mocne uderzenie	0	1967	\N	78
tt0062574	tvSeries	Journey to the Unknown	Journey to the Unknown	0	1968	\N	60
tt0062706	movie	Bandidos	Bandidos	0	1967	\N	95
tt0062958	movie	Fanny Hill	Fanny Hill	0	1968	\N	97
