name_id	name_	birth_year	death_year
nm0000002	Lauren Bacall	1924	2014
nm0000007	Humphrey Bogart	1899	1957
nm0000009	Richard Burton	1925	1984
nm0000010	James Cagney	1899	1986
nm0000012	Bette Davis	1908	1989
nm0000014	Olivia de Havilland	1916	2020
nm0000017	Marlene Dietrich	1901	1992
nm0000025	Jerry Goldsmith	1929	2004
nm0000035	James Horner	1953	2015
nm0000037	Gene Kelly	1912	1996
nm0000040	Stanley Kubrick	1928	1999
nm0000044	Burt Lancaster	1913	1994
nm0000046	Vivien Leigh	1913	1967
nm0000047	Sophia Loren	1934	\N
nm0000049	Henry Mancini	1924	1994
nm0000051	James Mason	1909	1984
nm0000053	Robert Mitchum	1917	1997
nm0000056	Paul Newman	1925	2008
nm0000063	Anthony Quinn	1915	2001
nm0000067	MiklÃ³s RÃ³zsa	1907	1995
nm0000068	Randolph Scott	1898	1987
nm0000069	Frank Sinatra	1915	1998
nm0000070	Max Steiner	1888	1971
nm0000072	Elizabeth Taylor	1932	2011
nm0000073	Shirley Temple	1928	2014
nm0000075	Spencer Tracy	1900	1967
nm0000077	Franz Waxman	1906	1967
nm0000080	Orson Welles	1915	1985
nm0000092	John Cleese	1939	\N
nm0000093	Brad Pitt	1963	\N
nm0000095	Woody Allen	1935	\N
nm0000096	Gillian Anderson	1968	\N
nm0000098	Jennifer Aniston	1969	\N
nm0000104	Antonio Banderas	1960	\N
nm0000106	Drew Barrymore	1975	\N
nm0000107	Kim Basinger	1953	\N
nm0000110	Kenneth Branagh	1960	\N
nm0000111	Matthew Broderick	1962	\N
nm0000112	Pierce Brosnan	1953	\N
nm0000113	Sandra Bullock	1964	\N
nm0000114	Steve Buscemi	1957	\N
nm0000115	Nicolas Cage	1964	\N
nm0000116	James Cameron	1954	\N
nm0000117	Neve Campbell	1973	\N
nm0000118	John Carpenter	1948	\N
nm0000120	Jim Carrey	1962	\N
nm0000122	Charles Chaplin	1889	1977
nm0000123	George Clooney	1961	\N
nm0000125	Sean Connery	1930	2020
nm0000126	Kevin Costner	1955	\N
nm0000127	Wes Craven	1939	2015
nm0000128	Russell Crowe	1964	\N
nm0000129	Tom Cruise	1962	\N
nm0000130	Jamie Lee Curtis	1958	\N
nm0000134	Robert De Niro	1943	\N
nm0000138	Leonardo DiCaprio	1974	\N
nm0000139	Cameron Diaz	1972	\N
nm0000140	Michael Douglas	1944	\N
nm0000142	Clint Eastwood	1930	\N
nm0000146	Ralph Fiennes	1962	\N
nm0000147	Colin Firth	1960	\N
nm0000150	Michael J. Fox	1961	\N
nm0000151	Morgan Freeman	1937	\N
nm0000153	Gina Gershon	1962	\N
nm0000154	Mel Gibson	1956	\N
nm0000155	Whoopi Goldberg	1955	\N
nm0000157	Linda Hamilton	1956	\N
nm0000158	Tom Hanks	1956	\N
nm0000160	Ethan Hawke	1970	\N
nm0000161	Salma Hayek	1966	\N
nm0000163	Dustin Hoffman	1937	\N
nm0000166	Helen Hunt	1963	\N
nm0000168	Samuel L. Jackson	1948	\N
nm0000171	Ashley Judd	1968	\N
nm0000172	Harvey Keitel	1939	\N
nm0000173	Nicole Kidman	1967	\N
nm0000175	Stephen King	1947	\N
nm0000177	Kevin Kline	1947	\N
nm0000182	Jennifer Lopez	1969	\N
nm0000185	Dolph Lundgren	1957	\N
nm0000187	Madonna	1958	\N
nm0000189	Jenny McCarthy-Wahlberg	1972	\N
nm0000191	Ewan McGregor	1971	\N
nm0000192	Alyssa Milano	1972	\N
nm0000194	Julianne Moore	1960	\N
nm0000196	Mike Myers	1963	\N
nm0000199	Al Pacino	1940	\N
nm0000200	Bill Paxton	1955	2017
nm0000206	Keanu Reeves	1964	\N
nm0000207	Christina Ricci	1980	\N
nm0000209	Tim Robbins	1958	\N
nm0000210	Julia Roberts	1967	\N
nm0000211	Mimi Rogers	1956	\N
nm0000218	Kristin Scott Thomas	1960	\N
nm0000219	Steven Seagal	1952	\N
nm0000222	Brooke Shields	1965	\N
nm0000223	Elisabeth Shue	1963	\N
nm0000226	Will Smith	1968	\N
nm0000227	Mira Sorvino	1967	\N
nm0000228	Kevin Spacey	1959	\N
nm0000229	Steven Spielberg	1946	\N
nm0000230	Sylvester Stallone	1946	\N
nm0000231	Oliver Stone	1946	\N
nm0000232	Sharon Stone	1958	\N
nm0000233	Quentin Tarantino	1963	\N
