name_id	profession
nm0000037	soundtrack
nm0000037	actor
nm0000037	miscellaneous
nm0000040	director
nm0000040	writer
nm0000040	producer
nm0000056	actor
nm0000056	producer
nm0000056	director
nm0000095	writer
nm0000095	director
nm0000095	actor
nm0000116	writer
nm0000116	producer
nm0000116	director
nm0000118	soundtrack
nm0000118	writer
nm0000118	composer
nm0000122	soundtrack
nm0000122	writer
nm0000122	actor
nm0000127	writer
nm0000127	producer
nm0000127	director
nm0000229	producer
nm0000229	writer
nm0000229	director
nm0000231	director
nm0000231	producer
nm0000231	writer
nm0000248	writer
nm0000248	director
nm0000248	actor
nm0000265	director
nm0000265	producer
nm0000265	writer
nm0000316	actor
nm0000316	writer
nm0000316	soundtrack
nm0000320	writer
nm0000320	director
nm0000320	actor
nm0000339	producer
nm0000339	director
nm0000339	actor
nm0000406	director
nm0000406	producer
nm0000406	actor
nm0000419	director
nm0000419	writer
nm0000419	editor
nm0000428	director
nm0000428	writer
nm0000428	producer
nm0000431	producer
nm0000431	director
nm0000431	writer
nm0000436	director
nm0000436	producer
nm0000436	writer
nm0000485	director
nm0000485	writer
nm0000485	producer
nm0000520	producer
nm0000520	writer
nm0000520	director
nm0000568	actor
nm0000568	miscellaneous
nm0000568	soundtrack
nm0000600	producer
nm0000600	writer
nm0000600	director
nm0000602	producer
nm0000602	actor
nm0000602	director
nm0000631	producer
nm0000631	director
nm0000631	production_designer
nm0000647	director
nm0000647	actor
nm0000647	writer
nm0000694	director
nm0000694	producer
nm0000694	writer
nm0000697	writer
nm0000697	director
nm0000697	producer
nm0000713	writer
nm0000713	director
nm0000713	actor
nm0000770	producer
nm0000770	director
nm0000778	actor
nm0000778	director
nm0000778	writer
nm0000881	producer
nm0000881	director
nm0000881	actor
nm0000921	writer
nm0000921	director
nm0000921	producer
nm0000923	miscellaneous
nm0000923	director
nm0000923	music_department
nm0000940	writer
nm0000940	director
nm0000940	producer
nm0000944	director
nm0000944	producer
nm0001001	actor
nm0001001	soundtrack
nm0001001	director
nm0001047	director
nm0001047	writer
nm0001047	producer
nm0001068	director
nm0001068	actress
nm0001068	writer
nm0001090	director
nm0001090	cinematographer
nm0001090	camera_department
nm0001130	director
nm0001130	producer
nm0001130	actor
nm0001155	actor
nm0001155	director
nm0001155	producer
nm0001162	actor
nm0001162	director
nm0001162	producer
nm0001165	actor
nm0001165	producer
nm0001165	director
nm0001202	writer
nm0001202	director
nm0001202	actor
nm0001361	director
nm0001361	writer
nm0001361	producer
nm0001392	producer
nm0001392	director
nm0001392	writer
nm0001437	director
nm0001437	actor
nm0001437	writer
nm0001460	producer
nm0001460	director
nm0001460	script_department
nm0001508	actress
nm0001508	director
nm0001508	producer
nm0001570	actor
nm0001570	producer
nm0001570	writer
nm0001627	actor
nm0001627	director
nm0001627	producer
nm0001675	producer
nm0001675	writer
nm0001675	director
nm0001741	producer
nm0001741	director
nm0001741	actor
nm0001754	director
nm0001754	writer
nm0001754	actor
nm0001904	director
nm0001904	actor
nm0001904	writer
nm0001928	director
nm0001928	assistant_director
nm0001928	miscellaneous
nm0001994	director
nm0001994	producer
nm0001994	actor
nm0002031	director
nm0002031	writer
nm0002031	actor
nm0002045	director
nm0002045	miscellaneous
nm0002045	producer
nm0002083	actor
nm0002083	director
nm0002083	writer
nm0002089	director
nm0002089	writer
nm0002089	producer
nm0002120	director
nm0002120	writer
nm0002120	cinematographer
nm0002164	producer
nm0002164	miscellaneous
nm0002164	director
nm0002179	director
nm0002179	assistant_director
nm0002179	writer
nm0002224	producer
nm0002224	director
nm0002224	editor
nm0002547	camera_department
nm0002547	cinematographer
nm0002547	director
nm0002634	director
nm0002634	writer
nm0002634	assistant_director
nm0002653	director
nm0002653	visual_effects
nm0002653	producer
nm0002723	producer
nm0002723	director
nm0002723	miscellaneous
nm0002835	director
nm0002835	producer
nm0002835	writer
nm0002836	director
nm0002836	assistant_director
nm0002836	producer
nm0003080	director
nm0003080	producer
nm0003080	miscellaneous
nm0003163	director
nm0003163	producer
nm0003163	miscellaneous
nm0003167	director
nm0003167	producer
nm0003167	actor
nm0003408	writer
nm0003408	director
nm0003408	editor
nm0003465	producer
nm0003465	writer
nm0003465	editor
nm0003477	writer
nm0003477	director
nm0003477	visual_effects
nm0003538	assistant_director
nm0003538	director
nm0003538	actor
nm0003638	director
nm0003638	writer
nm0003638	producer
nm0003784	actor
nm0003784	casting_department
nm0003784	producer
nm0003881	editorial_department
nm0003881	director
nm0003881	editor
nm0003941	director
nm0003941	miscellaneous
nm0003941	actor
nm0003968	director
nm0003968	editor
nm0003968	editorial_department
nm0004000	director
nm0004000	assistant_director
nm0004000	miscellaneous
nm0004071	director
nm0004071	assistant_director
nm0004071	writer
nm0004078	director
nm0004078	editor
nm0004078	writer
nm0004121	director
nm0004121	cinematographer
nm0004121	producer
nm0004152	producer
nm0004152	director
nm0004152	cinematographer
nm0004161	director
nm0004161	assistant_director
nm0004161	writer
nm0004281	director
nm0004281	producer
nm0004281	actor
nm0004380	actor
nm0004380	soundtrack
nm0004380	director
nm0004500	cinematographer
nm0004500	director
nm0004500	camera_department
nm0004501	director
nm0004501	writer
nm0004501	actor
nm0004552	art_department
nm0004552	animation_department
nm0004552	director
nm0004573	director
nm0004573	editor
nm0004573	editorial_department
nm0004610	director
nm0004610	assistant_director
nm0004610	producer
