Acquiring JDBC connections,Releasing JDBC connections,Preparing JDBC statements,Executing JDBC statements,Executing JDBC batches,Performing L2C puts,Performing L2C hits,Performing L2C misses,Executing flushes,Executing partial-flushes
586101,311600,1323912728,18018612706,0,0,0,0,20624649100,0
367200,374100,556500,2035515899,0,0,0,0,0,88300
458899,219899,1247177869,18423865897,0,0,0,0,20581963900,0
404600,313800,278202,2071478099,0,0,0,0,0,85003
344600,266300,1128981042,16891100011,0,0,0,0,18766847000,0
291501,235300,211600,2067525903,0,0,0,0,0,73701
326799,221899,1115299675,17949392205,0,0,0,0,19754635199,0
414199,301100,246402,2201707394,0,0,0,0,0,87700
332799,296301,1150760869,17891271141,0,0,0,0,19798911600,0
353600,258000,224603,2123071402,0,0,0,0,0,92699
338500,215601,1215878833,18954245864,0,0,0,0,20955551500,0
397201,315700,203001,2092970101,0,0,0,0,0,79598
373600,284000,1212200977,19167969617,0,0,0,0,21260184899,0
377000,303499,229399,2277351301,0,0,0,0,0,80500
418400,285900,1228709748,18394249927,0,0,0,0,20525130600,0
295600,220300,200802,2040772197,0,0,0,0,0,78700
373000,208900,1154353552,17878086442,0,0,0,0,19828390900,0
323300,214801,210102,2078387200,0,0,0,0,0,87898
301001,305800,1163981385,17571828696,0,0,0,0,19468067300,0
344100,351900,200695,2033419499,0,0,0,0,0,75593
330400,212700,1171262398,17750532181,0,0,0,0,19624558500,0
326799,222999,197498,2002953895,0,0,0,0,0,65900
323900,333800,1161401122,17981896361,0,0,0,0,19849842500,0
319900,226800,188900,2011746499,0,0,0,0,0,66097
315900,210300,1167284985,17840059754,0,0,0,0,19732114600,0
354701,294000,180500,2017867499,0,0,0,0,0,64399
319801,255500,1119718317,18210465284,0,0,0,0,20070450900,0
331099,286500,192104,2017357902,0,0,0,0,0,67001
343400,226800,1199349005,17902671510,0,0,0,0,19804504900,0
327500,229001,196599,2109702200,0,0,0,0,0,69900
367100,295099,1130169875,17911939716,0,0,0,0,19737768700,0
322999,250500,202000,2010687001,0,0,0,0,0,66101
348699,380199,1113704136,17026213048,0,0,0,0,18806568100,0
308900,361701,211799,2189897299,0,0,0,0,0,71801
331300,291500,1148785804,17565572306,0,0,0,0,19434476699,0
344701,248500,189499,2031683401,0,0,0,0,0,64699
415501,205099,1129090183,17561942545,0,0,0,0,19392694899,0
310900,365300,189499,2034065103,0,0,0,0,0,95402
311600,285800,1115469029,16892896672,0,0,0,0,18682796300,0
404399,271800,195196,2044439298,0,0,0,0,0,65299
