titleId	average_rating	num_votes
tt0000026	5.6	1527
tt0000108	4.3	541
tt0000609	3.6	19
tt0000816	4.6	125
tt0000887	4.9	49
tt0000966	5.6	347
tt0000992	4.4	15
tt0001083	5.0	142
tt0001314	5.8	158
tt0001315	6.0	24
tt0001396	3.0	18
tt0001742	5.7	15
tt0002221	6.7	453
tt0002281	6.1	313
tt0002755	4.6	39
tt0002785	6.0	8
tt0003014	7.0	1296
tt0003131	6.7	167
tt0003442	5.8	26
tt0003600	6.4	22
tt0003643	6.4	1324
tt0003668	5.6	23
tt0004011	5.5	940
tt0004196	5.8	51
tt0004307	5.9	23
tt0004870	5.3	92
tt0004972	6.2	25256
tt0005005	6.2	29
tt0005808	5.4	36
tt0005809	6.7	324
tt0006101	7.3	28
tt0006313	6.2	1720
tt0006548	6.6	2341
tt0006766	7.3	16
tt0006801	5.4	190
tt0006826	5.9	905
tt0006863	5.4	17
tt0008426	7.8	13
tt0008866	5.5	55
tt0009145	6.0	105
tt0010108	6.8	174
tt0010120	3.6	38
tt0010680	6.3	284
tt0010926	5.0	13
tt0011000	6.6	1299
tt0011865	6.7	1454
tt0011948	6.8	449
tt0012118	5.8	16
tt0012187	6.5	174
tt0012380	5.6	14
tt0012468	6.3	67
tt0012532	7.3	5273
tt0012627	5.8	53
tt0012642	6.8	1165
tt0012689	5.6	33
tt0012728	6.9	23
tt0012734	4.1	59
tt0012952	6.4	1452
tt0013025	7.6	6483
tt0013433	5.4	20
tt0013631	6.4	15
tt0013719	6.6	32
tt0013807	6.4	276
tt0013824	6.4	32
tt0014109	7.0	1311
tt0014249	6.4	13
tt0014339	7.0	32
tt0014353	7.0	67
tt0014667	6.3	150
tt0014782	5.8	43
tt0015150	7.3	30
tt0015557	5.8	34
tt0015863	7.1	4573
tt0016023	6.5	533
tt0016049	6.1	121
tt0016053	6.1	74
tt0016172	6.0	75
tt0016259	6.3	25
tt0016276	6.4	361
tt0016333	5.2	17
tt0016409	6.4	48
tt0016530	6.0	37
tt0016615	5.7	24
tt0017003	6.4	91
tt0017007	6.5	165
tt0017112	6.4	23
tt0017136	8.3	176450
tt0017210	6.1	30
tt0017242	7.7	16
tt0017410	6.6	222
tt0017516	6.5	10
tt0017619	8.8	369
tt0017736	7.1	229
tt0017859	6.7	23
tt0017869	6.4	67
tt0018037	6.4	10394
tt0018107	6.9	1100
tt0018122	5.3	10
tt0018207	6.2	76
tt0018320	4.5	21
tt0018440	6.5	1014
tt0018505	7.3	1265
tt0018622	6.9	27
tt0018716	6.0	18
tt0018728	6.9	496
tt0018742	8.0	12145
tt0018811	7.0	49
tt0018836	7.0	467
tt0019019	5.7	8
tt0019053	5.8	17
tt0019159	6.1	60
tt0019252	2.3	42
tt0019282	5.8	16
tt0019328	5.8	227
tt0019436	6.0	20
tt0019558	7.4	1809
tt0019704	6.3	116
tt0019729	5.6	7471
tt0019979	5.1	150
tt0020004	6.7	434
tt0020337	7.0	15
tt0020358	6.1	392
tt0020570	7.3	1046
tt0020572	5.9	782
tt0020594	6.9	371
tt0020768	7.7	3436
tt0020774	4.1	40
tt0020938	5.4	414
tt0021013	7.0	343
tt0021137	4.6	76
tt0021196	6.9	85
tt0021287	5.5	453
tt0021379	4.2	34
tt0021436	5.4	110
tt0021456	7.9	303
tt0021577	7.2	14244
tt0021608	4.2	22
tt0021698	6.0	70
tt0021778	6.3	1112
tt0021821	5.3	57
tt0021845	5.4	228
tt0021874	6.4	1415
tt0021900	5.0	181
tt0022017	7.5	1613
tt0022235	6.9	229
tt0022289	6.9	439
tt0022353	5.8	379
tt0022360	7.3	586
tt0022504	6.0	97
tt0022641	6.3	727
tt0022685	6.5	1769
tt0022695	7.0	39
tt0022816	6.9	13
tt0023065	6.5	17
tt0023070	6.7	27
tt0023071	6.5	306
tt0023158	7.5	4316
tt0023209	5.9	243
tt0023216	6.6	532
tt0023311	6.3	139
tt0023359	7.1	90
tt0023450	7.0	604
